year,instances,next_up,prob_up,p_value,significant
2015,235,154,0.6553191489361702,1.1056531231411584e-06,True
2016,193,101,0.5233160621761658,0.2824142179315952,False
2017,134,80,0.5970149253731343,0.015207402349759843,True
2018,243,129,0.5308641975308642,0.1845823532359446,False
2019,169,109,0.6449704142011834,0.0001011988718772453,True
2020,147,76,0.5170068027210885,0.37079597122308056,False
2021,202,101,0.5,0.5280347630714364,False
2022,370,195,0.527027027027027,0.16163589348417476,False
2023,199,111,0.5577889447236181,0.05932391298477564,False
2024,182,115,0.6318681318681318,0.0002308222024823679,True
