cost_bps,combo_id,mean_return,win_rate,n_instances
0,S7_AT_OPEN_H7,0.056441008476601,0.6323529411764706,68
0,S7_AT_CLOS_H7,0.053889101124846864,0.6470588235294118,68
0,S7_AT_OPEN_H6,0.04839875314601755,0.6323529411764706,68
0,S7_AT_CLOS_H6,0.04692984844982611,0.6617647058823529,68
0,S7_AT_OPEN_H5,0.041581721747575635,0.7058823529411765,68
5,S7_AT_OPEN_H7,0.055941008476601,0.6323529411764706,68
5,S7_AT_CLOS_H7,0.05338910112484686,0.6470588235294118,68
5,S7_AT_OPEN_H6,0.04789875314601755,0.6323529411764706,68
5,S7_AT_CLOS_H6,0.04642984844982611,0.6617647058823529,68
5,S7_AT_OPEN_H5,0.041081721747575635,0.7058823529411765,68
10,S7_AT_OPEN_H7,0.055441008476601,0.6323529411764706,68
10,S7_AT_CLOS_H7,0.05288910112484686,0.6470588235294118,68
10,S7_AT_OPEN_H6,0.04739875314601755,0.6323529411764706,68
10,S7_AT_CLOS_H6,0.04592984844982611,0.6617647058823529,68
10,S7_AT_OPEN_H5,0.040581721747575634,0.7058823529411765,68
